66 17 71 23 95 37 46 14 63 24 
22 60 55 45 72 81 18 31 79 100 
86 4 66 96 91 34 65 27 0 67 
57 83 76 56 28 17 79 89 46 87 
15 57 32 76 74 65 35 7 28 14 
95 98 99 10 69 57 4 33 95 34 
56 54 43 76 38 10 40 1 52 2 
45 60 41 76 52 89 89 81 30 14 
65 3 0 45 63 85 85 17 85 81 
4 86 61 33 0 29 52 87 100 85 
89 53 93 71 10 86 53 6 33 0 
82 82 74 19 58 83 85 99 25 54 
27 79 97 66 71 79 9 55 20 21 
94 22 50 49 47 19 22 42 44 50 
44 17 26 39 35 74 76 6 95 35 
100 63 41 76 96 46 13 43 79 42 
1 54 40 54 70 59 26 70 19 88 
91 9 70 46 42 7 67 48 98 72 
16 12 59 49 95 24 57 67 19 3 
39 30 17 30 20 63 85 41 86 50 
16 82 83 78 79 26 3 42 11 47 
70 59 56 33 94 34 14 77 71 40 
63 21 81 37 42 8 49 58 88 26 
94 97 18 30 82 86 22 82 70 36 
2 61 89 51 94 97 5 8 18 36 
46 93 47 23 18 41 0 82 88 7 
75 22 43 63 12 29 74 54 28 1 
24 17 55 54 40 56 41 65 25 8 
59 61 12 7 20 18 92 32 98 2 
4 48 14 9 43 26 64 47 1 72 
80 13 53 61 8 10 1 86 66 2 
49 65 29 16 16 37 91 40 56 3 
19 26 42 32 17 59 24 57 76 86 
1 13 7 70 33 35 37 0 10 17 
39 8 89 86 88 54 38 94 22 60 
89 99 87 99 63 11 58 42 33 73 
31 6 0 84 68 79 45 76 9 14 
25 3 32 64 24 29 40 89 8 13 
97 4 39 69 2 82 6 22 76 37 
97 57 95 30 73 83 51 12 94 92 
75 29 23 96 89 18 75 45 20 35 
45 36 94 51 25 86 47 25 15 1 
4 78 57 12 21 12 97 0 75 83 
66 44 92 26 72 72 54 46 58 4 
83 56 16 71 56 77 34 99 41 54 
70 55 46 79 79 6 92 21 27 8 
16 55 5 14 38 90 16 66 77 59 
76 28 90 16 37 83 26 6 21 35 
40 13 6 48 63 93 29 57 67 18 
39 37 40 6 81 4 92 5 76 30 
18 81 42 88 69 85 69 65 61 36 
13 29 65 18 100 71 60 27 83 16 
43 81 28 16 83 93 31 54 32 66 
33 26 44 73 97 28 29 32 10 57 
76 43 18 38 46 91 26 60 62 85 
44 85 10 29 47 17 97 53 21 5 
24 7 48 88 89 78 48 81 74 77 
17 33 45 57 -1
